X,cntry,gndr,nwspol,netustm,agea,eduyrs,netusoft,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,prtdgcl,lrscale,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,mnrgtjb,freehms,hmsfmlsh,hmsacld,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inprdsc,sclact,aesfdrk,health,hlthhmp,atchctr,atcherp,rlgdgr,rlgatnd,pray,gvrfgap,rfgfrpc,rfgbfml,elgcoal,elgngas,elghydr,elgnuc,elgsun,elgwind,elgbio,wrenexp,wrdpimp,wrtcfl,clmthgt1,wrclmch,lklmten,gvsrdcc,inctxff,sbsrnen,dfincac,smdfslv,uemplwk,slvpens,slvuemp,gvslvol,gvslvue,sbstrec,sbprvpv,sbeqsoc,sbbsntx,sblazy,sblwcoa,imsclbn,uentrjb,lbenent,bennent,admub,ubpay,ubedu,ubunp,ub50pay,ub50edu,ub50unp,ub20pay,ub20edu,ub20unp,ubsppay,ubspedu,ubspunp,bnlwinc,eduunmp,wrkprbf,basinc,eusclbf,eudcnbf,lkuemp,lknemny,hhmmb,domicil,estsz,wkdcorga,iorgact,hinctnta,hincfel,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
10394,DE,2,25,60,42,20,5,8,9,7,3,3,1,4,2,7,8,8,7,7,6,7,3,3,8,7,8,6,6,4,1,5,1,5,10,4,4,4,8,9,8,8,6,6,3,4,4,1,8,8,7,3,4,3,2,4,1,1,4,1,4,4,4,2,3,2,NA,4,2,4,4,4,4,2,NA,8,4,7,7,3,4,4,3,3,3,3,2,3,3,1,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,3,4,1,1,4,2,1,8,7,9,4,4,2,5,2,2,3,4,5,5,4,4,5,2,3,1,2,6,6,5,4,4
32937,NL,1,120,420,48,11,5,3,3,2,2,1,1,1,2,3,3,3,3,3,1,2,4,7,3,3,7,7,7,4,2,5,1,4,0,2,2,1,6,8,4,7,6,4,3,2,5,1,8,2,8,1,1,2,4,3,2,3,5,1,5,2,5,4,3,3,NA,4,5,6,NA,5,3,4,3,7,5,8,7,4,4,2,2,4,4,2,2,4,4,3,NA,NA,NA,NA,NA,NA,3,3,1,NA,NA,NA,3,3,3,3,2,2,3,3,1,5,4,8,8,2,2,4,3,6,5,5,4,3,5,3,5,6,4,3,6,5,5,5,5,5,5,5
34599,NO,1,60,60,62,12,5,8,8,8,2,4,3,5,2,8,8,8,7,7,7,8,3,7,9,8,9,8,8,3,4,4,4,2,1,3,2,2,6,1,2,7,3,4,3,4,4,1,8,8,5,3,2,1,4,4,1,3,4,1,4,4,4,2,2,3,NA,3,8,8,4,5,4,4,3,8,8,8,8,3,3,3,3,4,4,2,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,NA,NA,1,1,2,4,3,9,6,4,3,5,2,5,3,5,4,4,4,4,3,3,5,4,6,3,4,2,5,5,5,5
42212,SE,1,15,60,56,19,5,6,4,6,2,2,4,5,4,3,7,7,3,3,0,6,NA,2,4,2,4,3,5,4,1,5,1,5,5,4,4,4,7,10,10,8,5,4,2,1,5,1,6,6,3,3,2,4,1,5,1,1,4,2,4,3,3,2,1,1,NA,3,3,3,5,5,3,3,4,4,4,8,6,4,4,3,2,3,4,NA,2,3,2,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,2,1,1,3,3,3,7,1,10,4,5,2,6,2,2,5,4,5,NA,3,4,4,2,3,5,3,4,5,5,3,3
34164,NL,1,30,210,15,10,5,7,9,7,3,1,3,2,3,3,5,8,NA,NA,7,NA,NA,10,6,6,3,8,8,2,2,1,2,1,5,2,1,1,1,0,4,10,5,4,3,3,5,1,2,7,0,1,1,1,NA,1,3,3,4,4,4,2,2,2,3,2,NA,1,1,7,2,4,5,2,NA,7,NA,7,3,2,NA,2,4,4,2,1,NA,NA,3,2,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,3,2,1,2,NA,2,1,3,2,3,0,0,NA,4,4,NA,3,4,4,4,NA,NA,4,4,5,4,5,4,4,3,4,4,5,NA,NA
15577,FI,1,90,210,44,17,5,7,8,6,2,3,2,3,2,6,8,9,7,7,6,7,2,4,2,7,7,8,6,5,2,3,2,1,5,4,2,2,2,8,4,8,4,3,3,3,5,2,9,7,8,4,4,2,3,4,3,2,3,3,2,3,3,3,3,3,NA,2,7,8,2,4,2,4,5,8,6,9,7,3,4,4,3,2,2,2,2,3,3,2,NA,NA,NA,1,1,4,NA,NA,NA,NA,NA,NA,1,2,1,3,2,1,1,2,8,4,2,8,8,10,3,5,3,6,4,5,5,5,6,6,6,5,6,4,5,3,3,4,6,6,5,6
6896,CZ,2,0,600,25,16,5,5,4,6,4,1,1,1,1,2,4,5,3,2,1,3,NA,5,9,5,7,8,8,4,1,5,1,5,10,3,3,1,9,5,5,8,5,4,2,3,5,1,8,10,0,1,1,1,5,5,2,2,5,5,5,5,5,4,1,1,NA,5,0,5,5,5,5,1,2,2,3,10,10,2,5,5,3,2,2,2,4,2,4,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,4,4,5,2,2,2,3,NA,NA,NA,NA,3,6,6,6,5,5,6,3,5,2,6,6,5,6,6,6,3,5,6,6,4,6
35974,NO,2,120,180,67,9,5,7,9,5,3,3,2,1,1,5,5,7,4,4,4,5,3,8,6,7,5,5,3,5,1,5,2,5,5,2,2,3,1,1,1,10,7,2,3,3,3,2,10,9,1,1,1,1,4,4,1,3,4,1,4,4,1,2,2,2,NA,1,3,2,3,4,4,4,2,2,4,10,8,3,4,2,2,3,4,1,4,4,4,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,NA,NA,1,2,1,3,2,10,10,3,3,6,2,5,2,4,2,4,3,4,5,5,5,3,5,2,6,5,6,4,6,3
37381,PL,1,180,240,61,4,5,0,3,5,3,1,1,1,1,0,0,0,0,0,3,3,NA,6,0,0,0,5,0,4,2,4,2,1,5,4,3,3,10,9,6,7,3,4,NA,4,3,1,10,10,5,5,7,4,4,4,2,4,5,2,5,5,4,1,3,3,NA,1,2,2,4,4,4,4,1,5,10,10,1,3,2,4,4,4,4,2,4,2,4,3,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,2,2,3,2,2,4,1,3,6,2,1,10,10,9,3,5,3,5,5,5,3,5,5,3,2,5,3,5,5,3,5,3,5,5,5,3
18392,FR,1,30,45,64,15,5,4,7,2,1,1,1,2,3,3,3,3,2,0,0,0,3,7,2,0,1,3,7,4,1,5,1,2,1,3,3,3,4,1,3,5,5,2,3,4,4,1,10,0,7,1,5,1,3,3,2,4,4,4,4,2,3,3,3,2,NA,2,5,5,3,4,4,2,5,3,5,9,5,4,3,4,4,4,3,3,4,3,5,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,2,2,2,2,1,5,1,10,10,5,3,5,2,5,4,5,3,4,4,6,3,4,5,2,5,2,4,2,4,4,4,4
19718,GB,2,0,30,31,12,5,5,5,5,4,3,1,3,1,2,2,5,5,2,2,5,NA,5,3,3,5,7,5,4,1,3,1,4,5,1,1,1,2,3,1,7,7,4,5,3,4,1,8,8,5,1,1,1,5,1,3,3,3,3,3,3,3,3,2,3,NA,2,2,4,2,2,5,2,NA,2,5,7,7,3,3,3,3,3,2,1,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,2,2,2,2,2,2,2,4,3,4,0,0,8,2,4,3,4,3,5,4,5,4,5,4,3,2,6,5,3,3,1,3,4,4,5
